	PMID	PT	OT	MH	SI	TI	GR
22	32971210	Journal Article	O  NNLM;CMap;COVID19 drug;Network proximity;OpenVigil;Pharmacovigilance;Side effect	Antineoplastic Agents/*adverse effects/therapeutic use;Antiviral Agents/*adverse effects/therapeutic use;Betacoronavirus/drug effects;COVID19;Clinical Trials as Topic;Coronavirus Infections/*drug therapy;Humans;Immunologic Factors/*adverse effects/therapeutic use;Pandemics;*Pharmacovigilance;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/10/22 06:00		Comprehensive assessment of side effects in COVID-19 drug pipeline from a network 	
23	32599589	Journal Article;Review	O  NNLM;*COVID19;*Cytokine storm;*Therapy	Adrenal Cortex Hormones/therapeutic use;Antibodies, Monoclonal, Humanized/therapeutic use;Betacoronavirus;CCR5 Receptor Antagonists/therapeutic use;COVID19;Chloroquine/therapeutic use;Coronavirus Infections/drug therapy/immunology/*therapy;Cytokine Release Syndrome/immunology/*therapy;Enzyme Inhibitors/therapeutic use;Extracorporeal Membrane Oxygenation;HIV Antibodies/therapeutic use;Hemoperfusion;Humans;Hydroxychloroquine/therapeutic use;Immunization, Passive;Immunoglobulins, Intravenous/therapeutic use;Immunologic Factors/therapeutic use;Immunomodulation;Interleukin 1 Receptor Antagonist Protein/therapeutic use;Janus Kinase Inhibitors/therapeutic use;Lung Injury/immunology/therapy;Mesenchymal Stem Cell Transplantation;Multiple Organ Failure;Pandemics;Plasma Exchange;Plasmapheresis;Pneumonia, Viral/immunology/*therapy;Receptors, Interleukin6/antagonists & inhibitors;Respiratory Distress Syndrome/immunology/*therapy;SARSCoV2;Tumor Necrosis Factor Inhibitors/therapeutic use;DA 2020/09/25 06:00		Weathering the Cytokine Storm in COVID-19: Therapeutic Implications.	UL1 TR002649/TR/NCATS NIH HHS/United States
24	33134740	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;outbreak;pandemic;therapeutic, vaccine;transmission	DA 2020/11/03 06:01		Insights of Novel Coronavirus (SARS-CoV-2) disease outbreak, management and 	
25	32234468	Journal Article	O  NNLM;COVID19;Clinical trials;Diagnosis;Isolation;Pandemic;Remdesivir	Antiviral Agents/therapeutic use;*Betacoronavirus;COVID19;COVID19 Testing;Clinical Laboratory Techniques;Clinical Trials as Topic;*Coronavirus Infections/diagnosis/drug therapy/epidemiology;Humans;*Pandemics;*Pneumonia, Viral/diagnosis/drug therapy/epidemiology;SARSCoV2;DA 2020/05/29 06:00		The epidemiology, diagnosis and treatment of COVID-19.	
26	32687917	Journal Article;Review	O  NNLM;Antiviral drugs;COVID19;Convalescent plasma;SARSCoV2;Vaccines	Antiviral Agents/pharmacology;Betacoronavirus/*immunology/pathogenicity;COVID19;Chemokines;Coronavirus/drug effects;Coronavirus Infections/*complications/drug ;Cytokines/metabolism;Humans;Inflammation/immunology;Lung/drug effects;Pandemics;Phylogeny;Pneumonia, Viral/*complications/immunology/*therapy;SARSCoV2;Severe Acute Respiratory Syndrome/immunology/pathology/virology;DA 2020/09/30 06:00		An updated insight into the molecular pathogenesis, secondary complications and 	
27	33485973	Journal Article;Systematic Review	O  NNLM;Active ingredients;Broadspectrum antiviral;Chinese herbal medicine;Organ protection;SARSCov2	Animals;COVID19/*drug therapy;Drugs, Chinese Herbal/*therapeutic use;Humans;*Medicine, Chinese Traditional;*SARSCoV2;DA 2021/02/16 06:00		Chinese herbal medicine: Fighting SARS-CoV-2 infection on all fronts.	
28	32359447	Editorial		Betacoronavirus/*immunology/isolation & purification;COVID19;Coronavirus Infections/immunology/*therapy;Humans;Immunization, Passive/methods;Pandemics;Plasma/*immunology;Pneumonia, Viral/immunology/*therapy;SARSCoV2;DA 2020/07/01 06:00		The resurgence of convalescent plasma therapy.	
29	32503662	Clinical Trial Protocol;Letter	O  NNLM;COVID19;Chloroquine;Oropharyngeal sampling;Polymerase chain reaction;Pragmatic trial;Protocol;Randomized controlled trial;Viral load	*Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy/virology;Female;Hospitalization;Humans;Hydroxychloroquine/*therapeutic use;Male;Norway;Pandemics;Pneumonia, Viral/*drug therapy/virology;*Pragmatic Clinical Trials as Topic;Research Design;SARSCoV2;Viral Load;DA 2020/07/01 06:00	ClinicalTrials.gov/NCT04316377	Norwegian Coronavirus Disease 2019 (NO COVID-19) Pragmatic Open label Study to 	
30	33253920	Journal Article;Review		*Antiviral Agents/classification/pharmacology;*COVID19/drug therapy/epidemiology/prevention & control;COVID19 Vaccines/*pharmacology;*Compassionate Use Trials/methods/trends;Drug Approval;Humans;SARSCoV2;United States;DA 2021/04/02 06:00		Expanded Access Programs, compassionate drug use, and Emergency Use Authorizations 	
31	32426740	Journal Article;Review	O  NNLM;coronavirus disease 2019;guidelines;knowledge translation;misinformation;pandemic	DA 2020/05/20 06:01		Misinformation During the Coronavirus Disease 2019 Outbreak: How Knowledge Emerges 	
32	32585805	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;convalescent plasma;drug repurposing;stem cell therapy;vaccine interventions	DA 2020/06/27 06:01		Emerging Prevention and Treatment Strategies to Control COVID-19.	
33	32853599	Comment;Letter	O  NNLM;*Adaptive immunity;*COVID19;*Coronavirus;*Interferonᵧ;*SARSCoV2;*Tcells	*COVID19;China;Humans;Immunity, Cellular;Prospective Studies;Retrospective Studies;*SARSCoV2;Severity of Illness Index;TLymphocytes;DA 2021/02/25 06:00		COVID-19 patients display distinct SARS-CoV-2 specific T-cell responses according to 	
34	32895747	Journal Article;Review	O  NNLM;Autoimmune;COVID19;DMARD;Immunosuppressive;Medications;Rheumatic	Antirheumatic Agents/*therapeutic use;Betacoronavirus;COVID19;Coronavirus Infections/drug therapy/*immunology;Cytokine Release Syndrome/immunology;Deprescriptions;Disease Management;Humans;Immunosuppressive Agents/*therapeutic use;Pandemics;Pneumonia, Viral/drug therapy/*immunology;Rheumatic Diseases/*drug therapy;SARSCoV2;DA 2020/10/24 06:00		Managing rheumatic diseases during COVID-19.	
35	33161277	Journal Article;Research Support, N.I.H., Extramural;Review	O  NNLM;*ACE2;*Antivirals;*COVID19;*Drug development;*Existing drugs;*Immunomodulators;*Monoclonal antibodies;*Repurposed use;*SARSCoV2;*Spike protein;*Therapeutic targets;*Virus life cycle	Animals;Antibodies, Monoclonal/administration & dosage/immunology/metabolism;Antiviral Agents/*administration & dosage/immunology/metabolism;COVID19/*drug therapy/immunology/metabolism;Drug Development/*methods/trends;Humans;Immunologic Factors/administration & dosage/immunology/metabolism;Time Factors;Virus Internalization/drug effects;DA 2020/12/29 06:00		COVID-19 update: The race to therapeutic development.	
36	33293238	Journal Article;Review	O  NNLM;*ACE2;*COVID19;*Chemokines;*Cytokines;*Immunity;*Spike protein;*Vaccines	AngiotensinConverting Enzyme 2/physiology;*Antiviral Agents/isolation & purification/therapeutic use;COVID19/*drug therapy/immunology/*prevention & control;COVID19 Vaccines/*therapeutic use;Drug Development/methods;Genome, Viral/physiology;Humans;Molecular Targeted Therapy/*methods;SARSCoV2/drug effects/genetics/*immunology/pathogenicity;Viral Vaccines/therapeutic use;DA 2021/04/21 06:00		SARS-CoV-2: Targeted managements and vaccine development.	
37	32646061	Journal Article;Review	O  NNLM;COVID19;NETs;SARS;antioxidant;coronavirus;cytokine;ergothioneine;inflammation	DA 2020/07/11 06:01		Could Ergothioneine Aid in the Treatment of Coronavirus Patients?	NMRC/1264/2010/082/12/National Medical Research Council/;R183000321133/Tan Chin Tuan Centennial Foundation/
38	33301928	Comparative Study;Journal Article;Observational Study	O  NNLM;COVID19;Causal inference;Corticosteroids;Observational study;Therapeutic evaluation	Adolescent;Adrenal Cortex Hormones/*therapeutic use;Adult;Aged;Aged, 80 and over;CReactive Protein/analysis;COVID19/*drug therapy/mortality/therapy;Female;Humans;Male;Middle Aged;*Oxygen Inhalation Therapy;Prednisone/*therapeutic use;Respiration, Artificial;Severity of Illness Index;Young Adult;DA 2021/04/20 06:00		Corticosteroids in patients hospitalized for COVID-19 pneumonia who require oxygen: 	
39	32485418	Journal Article;MetaAnalysis;Review	O  NNLM;*Anticoagulation;*COVID19;*Venous thromboembolism	Anticoagulants/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/drug effects/*pathogenicity;*Blood Coagulation/drug effects;COVID19;Coronavirus Infections/blood/drug therapy/epidemiology/*virology;HostPathogen Interactions;Humans;Pandemics;Pneumonia, Viral/blood/drug therapy/epidemiology/*virology;Risk Assessment;Risk Factors;SARSCoV2;Treatment Outcome;Venous Thrombosis/blood/epidemiology/prevention & control/*virology;DA 2020/06/25 06:00		Thrombosis risk associated with COVID-19 infection. A scoping review.	
40	32937051	Case Reports;Clinical Conference;Journal Article		Aged;Antiviral Agents/therapeutic use;*Betacoronavirus;COVID19;Comorbidity;Coronavirus Infections/complications/*diagnosis/therapy;Diagnosis, Differential;Dyspnea/*etiology;Fever/etiology;Humans;Immunocompromised Host;Immunosuppressive Agents/*therapeutic use;*Liver Transplantation;Male;Pandemics;Pneumonia, Viral/complications/*diagnosis/therapy;Respiration, Artificial;SARSCoV2;DA 2020/10/09 06:00		Case 29-2020: A 66-Year-Old Man with Fever and Shortness of Breath after Liver 	
41	32674929	Journal Article;Review	O  NNLM;(Hydroxy)chloroquine;2019nCoV;Azithromycin;COVID19;SARSCoV2	Azithromycin/*administration & dosage/adverse effects/pharmacology;*Betacoronavirus;COVID19;Clinical Trials as Topic;Coronavirus Infections/*drug therapy;Drug Therapy, Combination;Humans;Hydroxychloroquine/*administration & dosage/adverse effects/pharmacology;Outcome Assessment, Health Care;Pandemics;Pneumonia, Viral/*drug therapy;Research Design;SARSCoV2;DA 2020/08/05 06:00		Reply to Gautret et al: hydroxychloroquine sulfate and azithromycin for COVID-19: 	
42	33142431	Comparative Study;Journal Article;Review	O  NNLM;*3CL or Mpro Protease;*COVID19;*Clinical trials;*RNA dependent RNA polymerase;*SARSCoV2;*SARSCoV2 spike (S) protein	Amino Acid Sequence;Animals;Antiviral Agents/*metabolism/therapeutic use;Binding Sites;COVID19/drug therapy/epidemiology/virology;Drug Repositioning;Humans;Protein Binding;SARS Virus/*chemistry;SARSCoV2/*chemistry/drug effects;Viral Nonstructural Proteins/chemistry/*metabolism;Viral Structural Proteins/chemistry/*metabolism;DA 2020/12/15 06:00		A perspective on potential target proteins of COVID-19: Comparison with SARS-CoV for 	
43	33189888	Journal Article;Observational Study;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*Cytokine release syndrome;*IL6R antagonist;*SARSCoV2;*Tocilizumab;*Treatment	Acute Lung Injury/*drug therapy/mortality;Aged;Antibodies, Monoclonal, Humanized/*therapeutic use;COVID19/*drug therapy/mortality;Cohort Studies;Cytokine Release Syndrome/*drug therapy/mortality;Female;Ferritins/metabolism;Fibrin Fibrinogen Degradation Products/metabolism;Humans;Inflammation/*drug therapy/mortality;Male;Middle Aged;Receptors, Interleukin6/immunology;Respiratory Distress Syndrome/*drug therapy/mortality;SARSCoV2/*physiology;Survival Analysis;DA 2021/01/29 06:00		Effectiveness and safety of intravenous tocilizumab to treat COVID-19-associated 	
44	32623296	Journal Article;Review	O  NNLM;COVID19;Clinical trials;Drug safety;Drugdrug interactions;Drugrelated problems;HerbDrug interactions;Immune depression	Antineoplastic Agents/administration & dosage/adverse effects;Betacoronavirus/isolation & purification;COVID19;Clinical Trials as Topic/methods/standards;Coronavirus Infections/*drug therapy/*immunology/virology;Humans;Medical Oncology/methods/*standards;Neoplasms/*drug therapy/*immunology/virology;Pandemics;Pharmacy/methods/*standards;Pneumonia, Viral/*drug therapy/*immunology/virology;Practice Guidelines as Topic;SARSCoV2;DA 2020/07/30 06:00		Cancer, immune suppression and Coronavirus Disease-19 (COVID-19): Need to manage 	
45	33521383	Journal Article	O  NNLM;COVID19;Clinical;Diagnosis;SARSCoV2;Transmission;Treatment	DA 2021/02/02 06:01		COVID-19: What you need to know.	
46	32428865	Journal Article;Review	O  NNLM;COVID19;Clinical outcome;Mortality;Remdesivir;SARSCoV2	Adenosine Monophosphate/*analogs & derivatives/pharmacology/therapeutic use;Alanine/*analogs & derivatives/pharmacology/therapeutic use;Antiviral Agents/*pharmacology/*therapeutic use;Betacoronavirus/*drug effects;COVID19;Coronavirus Infections/*drug therapy;Drug Evaluation, Preclinical;Humans;Pandemics;Pneumonia, Viral/*drug therapy;Randomized Controlled Trials as Topic;SARSCoV2;Treatment Outcome;DA 2020/07/28 06:00		Remdesivir in COVID-19: A critical review of pharmacology, pre-clinical and clinical 	
47	32346490	Journal Article	O  NNLM;COVID19 outbreak;CoVMpro;CoVNsp12 polymerase;CoVNsp13 helicase;SARSCoV2	DA 2020/04/30 06:01		Structural elucidation of SARS-CoV-2 vital proteins: Computational methods reveal 	
48	33158787	Comment;Letter		Antibodies, Monoclonal, Humanized/therapeutic use;*COVID19;Humans;SARSCoV2;Severity of Illness Index;DA 2021/01/05 06:00		Rationale and evidence on the use of tocilizumab in COVID-19: A systematic review. 	
49	32222812	Journal Article;Practice Guideline	O  NNLM;*COVID19;*Clinical practice guidelines;*Coronavirus;*Critical illness;*SARS CoV2	COVID19;Coronavirus Infections/prevention & control/*therapy;Critical Care/*standards;Humans;Intensive Care Units/*standards;Pandemics/prevention & control;Pneumonia, Viral/prevention & control/*therapy;Sepsis/diagnosis/etiology/*therapy;Survivors;DA 2020/05/15 06:00		Surviving Sepsis Campaign: guidelines on the management of critically ill adults 	
50	32736007	Practice Guideline;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*SARSCoV2;*cellular therapy;*hematopoietic cell transplan	Adrenal Cortex Hormones/*therapeutic use;Antiviral Agents/*therapeutic use;COVID19/*diagnosis/*drug therapy/immunology/therapy/virology;COVID19 Testing;Cell and TissueBased Therapy/methods;Clinical DecisionMaking;Disease Management;Disinfection/methods;Hematopoietic Stem Cell Transplantation/*methods;Humans;Immunization, Passive;Immunologic Factors/*therapeutic use;Neoplasms/immunology/*therapy/virology;Physical Distancing;Risk Assessment;SARSCoV2/drug effects/pathogenicity;Time Factors;DA 2020/12/18 06:00		Guidelines for COVID-19 Management in Hematopoietic Cell Transplantation and 	P30 CA016672/CA/NCI NIH HHS/United States;U01 AI132004/AI/NIAID NIH HHS/United States
51	32321540	Journal Article;Review	O  NNLM;2019nCoV;COVID19;Children;Italy;Respiratory syndrome;SARSCoV2	Adolescent;AntiInflammatory Agents, NonSteroidal/adverse effects/therapeutic use;Antirheumatic Agents/*therapeutic use;Arthritis, Juvenile/complications/virology;Betacoronavirus;COVID19;Child;Child, Preschool;Chloroquine/therapeutic use;Clinical Trials as Topic;Coronavirus Infections/*complications/*drug therapy/epidemiology;Cytokine Release Syndrome/drug therapy/virology;Humans;Hydroxychloroquine/therapeutic use;Infant;Interleukin6/antagonists & inhibitors;Italy/epidemiology;Pandemics;*Pediatricians;Pneumonia, Viral/*complications/*drug therapy/epidemiology;Rheumatic Diseases/*complications/*virology;*Rheumatologists;SARSCoV2;DA 2020/04/25 06:00		COVID-19 and what pediatric rheumatologists should know: a review from a highly 	
52	32514689	Journal Article;Systematic Review		AntiBacterial Agents/*pharmacology;AntiRetroviral Agents/*pharmacology;Antimalarials/*pharmacology;Antineoplastic Agents/*pharmacology;Antiviral Agents/pharmacology;Betacoronavirus/*drug effects;COVID19;Coronavirus Infections/*drug therapy/prevention & control;*Drug Repositioning;Humans;Pandemics/prevention & control;Pneumonia, Viral/*drug therapy/prevention & control;SARSCoV2;DA 2020/07/21 06:00		The potential of drug repositioning as a short-term strategy for the control and 	
53	32605194	Journal Article;Review	O  NNLM;*COVID19;*Coronavirus;*SARSCoV2;*diagnosis;*pandemic;*pathobiology;*therapeutics;*vaccines	DA 2020/07/02 06:01		Coronavirus Disease Pandemic (COVID-19): Challenges and a Global Perspective.	
54	33435568	Journal Article;Review	O  NNLM;NETosis;NOXdependent and NOXindependent;chronic obstructive pulmonary disease (COPD);innate immunity neutrophils;neutrophil extracellular traps (NETs);pathogenesis	DA 2021/01/14 06:01		Orchestration of Neutrophil Extracellular Traps (Nets), a Unique Innate Immune 	
55	33152192	Journal Article;Systematic Review	O  NNLM;*chloroquine;*hydroxychloroquine;*coronavirus;*systematic review;*clinical trial;*pandemics;*SARSCoV2	Antiviral Agents/adverse effects/pharmacology/*therapeutic use;Betacoronavirus/*drug effects/physiology;COVID19;Chloroquine/adverse effects/pharmacology/*therapeutic use;Clinical Trials as Topic;Compassionate Use Trials;Coronavirus Infections/*drug therapy;Cytokine Release Syndrome/drug therapy;Drug Repositioning;Humans;Hydroxychloroquine/adverse effects/pharmacology/*therapeutic use;Multicenter Studies as Topic;Pandemics;Pneumonia, Viral/*drug therapy;Randomized Controlled Trials as Topic;Registries;SARSCoV2;Treatment Outcome;Virus Replication/drug effects;DA 2020/11/20 06:00		Chloroquine and its derivatives in the management of COVID-19: A scoping review.	
56	33532594	Journal Article	O  NNLM;COVID‐19;SARS‐CoV‐2;artificial intelligence;combinatory treatment;digital medicine;drug development;drug interactions	DA 2021/02/04 06:01		IDentif.AI: Rapidly optimizing combination therapy design against severe Acute 	
57	32766679	Comment;Journal Article		*COVID19;*Coronavirus Infections/epidemiology;Humans;Hydroxychloroquine;Pandemics;*Pneumonia, Viral;SARSCoV2;DA 2020/12/17 06:00		Comment on: Rationale of a loading dose initiation for hydroxychloroquine treatment 	
58	32982720	Journal Article;Review	O  NNLM;SARSCoV2;angiotensinconverting enzyme 2 receptors;endocytosis;immune response;mesenchymal stem cells;monoclonal antibodies;therapeutic targets;vaccine	DA 2020/09/29 06:01		SARS-CoV-2 Treatment Approaches: Numerous Options, No Certainty for a Versatile 	
