	PMID	PT	OT	MH	SI	TI	GR
10	32550705	Journal Article;Review	O  NNLM;*COVID19 diagnostic testing [Supplementary Concept];*Patients;*Therapeutics	Betacoronavirus;Biomedical Research/*trends;COVID19;Coronavirus Infections/*therapy;Humans;Pandemics;Pneumonia, Viral/*therapy;SARSCoV2;DA 2020/07/24 06:00		Treatment and research lines for the patient with COVID-19. What do we have and 	
11	32375142	Editorial		Adrenal Cortex Hormones/adverse effects;Bone Marrow Transplantation;COVID19/*complications/drug therapy/epidemiology;China/epidemiology;Cohort Studies;EvidenceBased Medicine;Hematologic Neoplasms/*complications/therapy;Hematology;Humans;Immunotherapy, Adoptive;Pandemics;Risk Factors;*SARSCoV2;DA 2021/04/02 06:00		Perspective: SARS-CoV-2, COVID-19 and Haematologists.	
12	32546018	Journal Article;Review	O  NNLM;*COVID19;*Favipiravir;*acute respiratory distress syndrome;*chloroquine;*interferons;*nucleocapsid protein;*spike protein;*treatment	Antibodies, Monoclonal/therapeutic use;Antiviral Agents/*therapeutic use;*Betacoronavirus/chemistry/genetics/physiology;COVID19;Coronavirus Infections/complications/*drug therapy/epidemiology;*Drug Discovery;Humans;Pandemics;Pneumonia, Viral/complications/*drug therapy/epidemiology;SARSCoV2;Serine Endopeptidases/physiology;Serine Proteinase Inhibitors/therapeutic use;Virus Replication;DA 2020/08/04 06:00		The broad-spectrum antiviral recommendations for drug discovery against COVID-19.	
13	33200116	Preprint	O  NNLM;ACE2;COVID19 data;In silico;MPro;NSP16/NSP10;PLpro inhibitors;RdRP;SARSCoV 2;SARSCoV2 Small molecule inhibitor;Spike;TMPRSS2;computational biology;drug discovery;nsp10;nsp13;nsp14exonuclease;nsp16;nsp3 macrdomain;nsp5;nsp7;nsp8;nsp9;nucleoprotein;virtual screening	DA 2020/11/18 06:01		A Multi-Pronged Approach Targeting SARS-CoV-2 Proteins Using Ultra-Large Virtual 	
14	33156374	Journal Article;Review	O  NNLM;KIT inhibitors;Prognostic score;Systemic mastocytosis;Treatment	Cladribine/*therapeutic use;Humans;Interferons/*therapeutic use;Mast Cells/metabolism/pathology;Mastocytosis, Systemic/*drug therapy/metabolism/pathology;ProtoOncogene Proteins ckit/*antagonists & inhibitors/metabolism;DA 2021/01/27 06:00		Catching the clinical and biological diversity for an appropriate therapeutic 	21267/Associazione Italiana per la Ricerca sul Cancro/
15	32778962	Journal Article;Review	O  NNLM;COVID19;Coronavirus;MERSCoV;SARSCoV;SARSCoV2;antiviral therapy;kinase inhibitors;pharmacokinetics	Animals;Antiviral Agents/*therapeutic use;COVID19;Coronavirus Infections/*drug therapy;*Drug Repositioning;Humans;Pandemics;Pneumonia, Viral/*drug therapy;Protein Kinase Inhibitors/*therapeutic use;DA 2020/08/14 06:00		Repurposing of Kinase Inhibitors for Treatment of COVID-19.	Project Program Grant, NIH PO1CA66996/NH/NIH HHS/United States
16	33041814	Journal Article;Review	O  NNLM;COVID19 proposed therapy;Severe Acute Respiratory Syndrome Coronavirus 2 (SARSCoV2);convalescent plasma;pandemic;therapeutic challenges	DA 2020/10/13 06:01		Potential Therapeutic Options for COVID-19: Current Status, Challenges, and Future 	
17	32792167	Journal Article;Review	O  NNLM;*COVID19;*Clinical trials;*Corona pandemic;*Therapeutic;*Vaccination	COVID19/*drug therapy/virology;*Clinical Trials as Topic;Europe;Humans;SARSCoV2/*drug effects/pathogenicity;World Health Organization;DA 2020/12/30 06:00		Current updates on the European and WHO registered clinical trials of coronavirus 	
18	32623296	Journal Article;Review	O  NNLM;COVID19;Clinical trials;Drug safety;Drugdrug interactions;Drugrelated problems;HerbDrug interactions;Immune depression	Antineoplastic Agents/administration & dosage/adverse effects;Betacoronavirus/isolation & purification;COVID19;Clinical Trials as Topic/methods/standards;Coronavirus Infections/*drug therapy/*immunology/virology;Humans;Medical Oncology/methods/*standards;Neoplasms/*drug therapy/*immunology/virology;Pandemics;Pharmacy/methods/*standards;Pneumonia, Viral/*drug therapy/*immunology/virology;Practice Guidelines as Topic;SARSCoV2;DA 2020/07/30 06:00		Cancer, immune suppression and Coronavirus Disease-19 (COVID-19): Need to manage 	
19	33224405	Journal Article;Review	O  NNLM;Pharmacology;Prostacyclin;Prostaglandin;Pulmonary hypertension;Right heart failure;Therapeutics	DA 2020/11/24 06:01		Management of Pulmonary Arterial Hypertension.	
20	32992245	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*Antiviral;*COVID19;*Coronavirus;*Repurposed drugs;*SARSCoV2	Antiviral Agents/chemistry/*therapeutic use;COVID19/immunology/*therapy;COVID19 Vaccines/*immunology;*Drug Repositioning;Humans;SARSCoV2/*drug effects/immunology;DA 2020/12/22 06:00		COVID-19 therapy: What weapons do we bring into battle?	
21	32999432	Letter;Research Support, N.I.H., Extramural		Antiviral Agents/*pharmacology;Betacoronavirus/*drug effects/growth & development/pathogenicity;COVID19;Caco2 Cells;Coronavirus Infections/drug therapy/virology;Drug Repositioning;Humans;Imatinib Mesylate/*pharmacology;Inhibitory Concentration 50;Niacinamide/*analogs & derivatives/pharmacology;Pandemics;Pneumonia, Viral/drug therapy/virology;Protein Kinase Inhibitors/*pharmacology;Pyrazoles/*pharmacology;Randomized Controlled Trials as Topic;SARSCoV2;Virus Internalization/drug effects;Virus Replication/drug effects;DA 2020/11/06 06:00	ClinicalTrials.gov/NCT04357613;ClinicalTrials.gov/NCT04394416;EudraCT/202000123610	Imatinib is not a potent anti-SARS-CoV-2 drug.	P30 CA042014/CA/NCI NIH HHS/United States;R01 CA178397/CA/NCI NIH HHS/United States;R01CA178397/U.S. Department of Health &amp; Human Services | NIH | National Cancer ;P30CA4201431/U.S. Department of Health &amp; Human Services | NIH | National Cancer 
22	32801052	Journal Article;Review		DA 2020/08/18 06:00		Derivatization and combination therapy of current COVID-19 therapeutic agents: a 	
23	33058394	Journal Article	O  NNLM;COVID19;SARSCoV2;antiviral drugs;therapeutic targets	Antiviral Agents/*pharmacology/therapeutic use;COVID19/*drug therapy/immunology/virology;Humans;Immune System Phenomena/*drug effects;SARSCoV2/*drug effects/immunology/metabolism/pathogenicity;DA 2020/12/19 06:00		SARS-CoV-2 virus infection: Targets and antiviral pharmacological strategies.	Finance Code 001./Coordenação de Aperfeiçoamento de Pessoal de Nível Superior/
24	32708302	Journal Article;Review	O  NNLM;NFκB pathway;anticancer;antiinflammatory;autoimmune disease;clinical trials;small molecules	AntiInflammatory Agents/*pharmacology;Antineoplastic Agents/*pharmacology;Drug Discovery/*methods;Humans;Ikappa B Kinase/antagonists & inhibitors/*metabolism;NFkappa B/antagonists & inhibitors/*metabolism;Proteasome Inhibitors/pharmacology;Signal Transduction/*drug effects/genetics;Ubiquitination/drug effects;DA 2021/03/05 06:00		Small Molecule NF-κB Pathway Inhibitors in Clinic.	NRFCRP17201702/National Research Foundation Singapore/
25	33162993	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*Janus kinase 1/2;*chronic graftversushost disease;*hematopoietic stem cell transplantation;*immunotherapy;*tyrosine kinase inhibitors	DA 2020/11/10 06:00		New Approaches for the Treatment of Chronic Graft-Versus-Host Disease: Current 	
26	32574699	Journal Article;Research Support, N.I.H., Extramural;Review		Animals;Antiviral Agents/pharmacology/*therapeutic use;Betacoronavirus/drug effects/isolation & purification;COVID19;Coronavirus Infections/*drug therapy/virology;Drug Discovery;Humans;OffLabel Use;Pandemics;Pneumonia, Viral/*drug therapy/virology;SARSCoV2;DA 2020/09/01 06:00		Discovering small-molecule therapeutics against SARS-CoV-2.	P01 HL107152/HL/NHLBI NIH HHS/United States;R01 HL090586/HL/NHLBI NIH HHS/United States;U01 CA241951/CA/NCI NIH HHS/United States;S10 RR027411/RR/NCRR NIH HHS/United States
27	33115543	Clinical Trial Protocol;Letter	O  NNLM;COVID19;Randomised controlled trial;SARSCoV;TKI;TKIinduced attenuation of vascular leak;TKIinduced prevention and treatment lung inflammation;imatinib;lysosomal sequestration;protocol;tyrosine kinase inhibitor;viral ABL1 signalling	Administration, Oral;Adult;*Betacoronavirus/drug effects/isolation & purification;COVID19;*Coronavirus Infections/diagnosis/drug therapy;Critical Care/methods;DoseResponse Relationship, Drug;DoubleBlind Method;Drug Monitoring;Female;Humans;*Imatinib Mesylate/administration & dosage/adverse effects;Male;*Pandemics;*Pneumonia, Viral/diagnosis/drug therapy;Protein Kinase Inhibitors/administration & dosage/adverse effects;Randomized Controlled Trials as Topic;SARSCoV2;Treatment Outcome;DA 2020/11/06 06:00	ClinicalTrials.gov/NCT04394416	Safety and Efficacy of Imatinib for Hospitalized Adults with COVID-19: A structured 	P30CA134274/CA/NCI NIH HHS/United States
28	33240091	Journal Article;Review	O  NNLM;COVID19;coronavirus;drug repositioning;drug repurposing;pandemic	DA 2020/11/27 06:01	ClinicalTrials.gov/NCT04244591;ClinicalTrials.gov/NCT04280705;ClinicalTrials.gov/NCT04304313;ClinicalTrials.gov/NCT04348695;ClinicalTrials.gov/NCT04359329;ClinicalTrials.gov/NCT04342663;ClinicalTrials.gov/NCT04321174	Challenges for Drug Repurposing in the COVID-19 Pandemic Era.	
29	33457170	Journal Article;Review	O  NNLM;Antivirals;COVID19;Drugs and COVID19;Nanothenology against COVID19;Natural products against COVID19;Vaccines against COVID19	DA 2021/01/19 06:01		Recent biotechnological advances as potential intervention strategies against 	
30	32702077	Preprint		DA 2020/07/24 06:01		Identification of new drug treatments to combat COVID19: A signature-based approach 	R01 MH107487/MH/NIMH NIH HHS/United States;R01 MH121102/MH/NIMH NIH HHS/United States
31	33232783	Journal Article;Review	O  NNLM;*Acute respiratory distress syndrome (ARDS);*COVID19;*Coronavirus;*Cytokine storm;*Dexamethasone;*Immune response;*SARSCoV2;*Treatment;*Vitamin D	Adaptive Immunity;Animals;COVID19/*immunology/*physiopathology;Clinical Trials as Topic;Cytokine Release Syndrome/immunology/prevention & control;Disease Management;Humans;Immunity, Innate;Immunologic Factors;Inflammation/immunology/prevention & control;SARSCoV2;Vitamin D/*immunology/therapeutic use;Zoonoses/immunology;DA 2021/01/05 06:00		Putative roles of vitamin D in modulating immune response and immunopathology 	
32	32923151	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*COVID19;*SARSCoV2;*cancer;*hydroxychloroquine;*immune checkpoint;*immunotherapy	Animals;Antineoplastic Combined Chemotherapy Protocols/*administration & ;Azithromycin/*administration & dosage/pharmacokinetics;COVID19/*drug therapy/immunology/virology;Cell Line, Tumor;Cisplatin/administration & dosage/pharmacokinetics;Clinical Trials, Phase II as Topic;Crizotinib/administration & dosage/pharmacokinetics;Disease Models, Animal;Drug Evaluation, Preclinical;Drug Interactions;Drug Therapy, Combination/methods;Female;France;Humans;Hydroxychloroquine/*administration & dosage/pharmacokinetics;Mice;Neoplasms/*drug therapy/immunology;Oxaliplatin/administration & dosage/pharmacokinetics;Programmed Cell Death 1 Receptor/antagonists & inhibitors/immunology;SARSCoV2/immunology/isolation & purification;DA 2020/09/15 06:01		Combination treatments with hydroxychloroquine and azithromycin are compatible with 	
33	32405780	Journal Article;Review	O  NNLM;drug therapy;novel coronavirus (2019nCoV);pneumonia;research progress	Antimalarials/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus;Biological Factors/therapeutic use;Biomedical Research/trends;COVID19;Coronavirus Infections/*drug therapy/therapy;Glucocorticoids/therapeutic use;Humans;Immunization, Passive;Medicine, Chinese Traditional;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/05/20 06:00		Research Progress of Drug Treatment in Novel Coronavirus Pneumonia.	
34	32768564	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*Lipid nanoparticles;*pHresponsive ionizable lipid;*siRNA	DA 2020/08/10 06:00		Recent advances in siRNA delivery mediated by lipid-based nanoparticles.	
35	33194671	Journal Article;Review	O  NNLM;cancer;coronavirus disease;coronavirus disease 2019;severe acute respiratory syndrome;severe acute respiratory syndrome coronavirus 2	DA 2020/11/17 06:01		Coronavirus Disease 2019: A Brief Review of the Clinical Manifestations and 	
36	33344513	Journal Article	O  NNLM;COVID19;cardiooncology;cytokine release syndrome;health disparities;inflammation;pandemic;right ventricle;telemedicine	DA 2020/12/22 06:01		Pandemic Perspective: Commonalities Between COVID-19 and Cardio-Oncology.	R01 HL128240/HL/NHLBI NIH HHS/United States;R01 HL144098/HL/NHLBI NIH HHS/United States
37	32455629	Journal Article	O  NNLM;COVID19;SARSCoV2 coronavirus;drugs and medicinal substance repurposing;eriodictyol;estradiol;genomics;luteolin;mitigation approaches;quercetin;vitamin D	DA 2020/05/28 06:01		Tripartite Combination of Candidate Pandemic Mitigation Agents: Vitamin D, 	
38	32545409	Journal Article;Review	O  NNLM;COVID19;head and neck cancer;head and neck squamous cell carcinoma;salivary gland cancer;skin cancer;thyroid cancer	DA 2020/06/18 06:01		The Evolution of Care of Cancers of the Head and Neck Region: State of the Science 	T32 DE017551/DE/NIDCR NIH HHS/United States;DDCF2015209/DDCF/Doris Duke Charitable Foundation/United States;DE016572/DE/NIDCR NIH HHS/United States;K08CA237858/CA/NCI NIH HHS/United States;CA243307/CA/NCI NIH HHS/United States;K08DE026542/DE/NIDCR NIH HHS/United States;K08 CA237858/CA/NCI NIH HHS/United States;GM008716/MH/NIMH NIH HHS/United States
39	33239864	Journal Article;Review	O  NNLM;COVID19;anticancer drugs;drugrepurposing	Antineoplastic Agents/*therapeutic use;Antiviral Agents/therapeutic use;COVID19/*drug therapy;Clinical Trials as Topic;*Drug Repositioning;Humans;DA 2020/12/15 06:00		Repurposing Anti-Cancer Drugs for COVID-19 Treatment.	P30 CA086862/CA/NCI NIH HHS/United States;T32 GM007337/GM/NIGMS NIH HHS/United States
40	32511912	Journal Article;Research Support, NonU.S. Gov't;Review		Amino Acid Sequence;Animals;Antiviral Agents/*therapeutic use;COVID19/*drug therapy;Drug Repositioning;Enzyme Inhibitors/therapeutic use;Humans;Immunity, Innate/drug effects;SARSCoV2/*drug effects;DA 2020/12/15 06:00		COVID-19: Drug Targets and Potential Treatments.	
41	32583086	Journal Article;Review	O  NNLM;COVID19;Complement;Eculizumab;Endothelium;HIF1alpha;Imatinib;SARSCoV;Thrombosis	Antibodies, Monoclonal, Humanized/administration & dosage;*Betacoronavirus;COVID19;Clinical Trials, Phase II as Topic/methods;Complement Inactivating Agents/*administration & dosage;Coronavirus Infections/drug therapy/*metabolism/pathology;Drug Delivery Systems/*methods;Endothelium, Vascular/drug effects/*metabolism/pathology;Humans;HypoxiaInducible Factor 1, alpha Subunit/antagonists & inhibitors/*metabolism;Imatinib Mesylate/administration & dosage;Pandemics/prevention & control;Pneumonia, Viral/drug therapy/*metabolism/pathology;ProteinTyrosine Kinases/antagonists & inhibitors/*metabolism;SARSCoV2;Signal Transduction/drug effects/physiology;DA 2020/07/15 06:00		COVID-19-driven endothelial damage: complement, HIF-1, and ABL2 are potential 	
42	33466743	Journal Article	O  NNLM;African natural products;SARSCoV2;SARSCoV2 inhibitors;coronavirus;molecular docking;molecular dynamics;virtual screening	Africa;Antiviral Agents/*chemistry/metabolism/*pharmacology;Bayes Theorem;Binding Sites;Biological Products/chemistry/metabolism/*pharmacology;Cheminformatics/methods;Coronavirus 3C Proteases/chemistry/*metabolism;Drug Evaluation, Preclinical;Fusidic Acid/chemistry/pharmacology;Ligands;Molecular Docking Simulation;Molecular Dynamics Simulation;Pentacyclic Triterpenes/chemistry/pharmacology;Protein Conformation;SARSCoV2/*drug effects;DA 2021/01/30 06:00		Cheminformatics-Based Identification of Potential Novel Anti-SARS-CoV-2 Natural 	
43	33050924	Clinical Trial, Phase III;Letter;Randomized Controlled Trial		Aged;Aged, 80 and over;Amides/therapeutic use;Antihypertensive Agents/therapeutic use;Antimalarials/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/*genetics;COVID19;Coronavirus Infections/*drug therapy/epidemiology/virology;Drug Tolerance;Feasibility Studies;France/epidemiology;Hospitalization/trends;Humans;Hydroxychloroquine/therapeutic use;Imatinib Mesylate/therapeutic use;Luxembourg/epidemiology;Outpatients/*statistics & numerical data;Pandemics;Pneumonia, Viral/*drug therapy/epidemiology/virology;Protein Kinase Inhibitors/therapeutic use;Pyrazines/therapeutic use;Risk Reduction Behavior;SARSCoV2;Telmisartan/therapeutic use;Therapies, Investigational/*statistics & numerical data;Treatment Outcome;DA 2020/11/04 06:00	ClinicalTrials.gov/NCT04356495	Home Treatment of Older People with Symptomatic SARS-CoV-2 Infection (COVID-19): A 	NA/Université de Bordeaux/;NA/INSERM/;NA/Agence Nationale de la Recherche/;NA/Ministère de la Santé/;NA/EIT Health/
44	33244300	Journal Article	O  NNLM;COVID19;acute lung injury;cancer;cytokine release syndrome;multiorgan dysfunction;pneumonia;sepsis	DA 2020/11/28 06:01	ClinicalTrials.gov/NCT03680105	Rejuveinix Shows a Favorable Clinical Safety Profile in Human Subjects and Exhibits 	
45	32468014	Journal Article;Review		Angiotensin II Type 1 Receptor Blockers/classification/therapeutic use;AngiotensinConverting Enzyme 2;Betacoronavirus/*drug effects/pathogenicity/physiology;Bromhexine/pharmacology/therapeutic use;COVID19;Chlorpromazine/pharmacology/therapeutic use;Clinical Trials as Topic/methods;Coronavirus Infections/*drug therapy/epidemiology/mortality;Diminazene/pharmacology/therapeutic use;*Drug Repositioning/methods/standards/trends;Gabexate/analogs & derivatives/pharmacology/therapeutic use;Humans;Pandemics;PeptidylDipeptidase A/chemistry/metabolism/therapeutic use;Pneumonia, Viral/*drug therapy/epidemiology/mortality;Receptor, Angiotensin, Type 1/metabolism;Recombinant Proteins/chemistry/therapeutic use;SARSCoV2;Signal Transduction/drug effects;Virus Internalization/*drug effects;DA 2020/07/02 06:00		Comprehensive analysis of drugs to treat SARS‑CoV‑2 infection: Mechanistic insights 	
46	33131530	Journal Article	O  NNLM;*COVID19;*Candidate drugs;*Infection pathways;*Interactome;*Prophylaxis agents;*Proteome;*SARSCoV2;*Transcriptome	*Antiviral Agents/chemistry/pharmacokinetics/therapeutic use;*Betacoronavirus/genetics/metabolism;COVID19;*Coronavirus Infections/drug therapy/genetics/metabolism;*Databases, Genetic;*Drug Discovery;Humans;*Models, Biological;*Pandemics;*Pneumonia, Viral/drug therapy/genetics/metabolism;Proteomics;SARSCoV2;DA 2020/11/18 06:00		Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs 	
47	32387301	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*Baricitinib;*Begelomab;*COVID19;*GVHD;*MAS;*Ruxolitinib;*TKIs;*Tocilizumab	Betacoronavirus/drug effects;COVID19;Coronavirus Infections/*drug therapy;Graft vs Host Disease/drug therapy;Hematology/*methods;Humans;Macrophage Activation Syndrome/drug therapy;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/07/01 06:00		The CoV-2 outbreak: how hematologists could help to fight Covid-19.	
48	32572174	Journal Article		Adrenal Cortex Hormones/therapeutic use;Anticoagulants/therapeutic use;Antineoplastic Agents/pharmacology/*therapeutic use;*Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy/*immunology/physiopathology/virology;Drug Repositioning/*methods;Humans;Immunologic Factors/therapeutic use;Inflammation/drug therapy;Interleukin6/antagonists & inhibitors;Pandemics;Pneumonia, Viral/*drug therapy/*immunology/physiopathology/virology;Programmed Cell Death 1 Receptor/antagonists & inhibitors;Protein Kinase Inhibitors/therapeutic use;SARSCoV2;Treatment Outcome;Vascular Endothelial Growth Factor A/antagonists & inhibitors;DA 2020/09/22 06:00		Repurposing anticancer drugs for COVID-19-induced inflammation, immune dysfunction, 	
49	33125946	Journal Article;Review	O  NNLM;*Anticancer drugs;*COVID19;*Repurposing;*SARSCoV2	Antineoplastic Agents/*administration & dosage;Antiviral Agents/administration & dosage;COVID19/*drug therapy/virology;*Drug Repositioning;Humans;Pandemics;SARSCoV2/*drug effects;DA 2021/01/05 06:00		Repurposing anticancer drugs for the management of COVID-19.	
50	32654986	Journal Article	O  NNLM;Chronic myeloproliferative neoplasms;Novel coronavirus;SARSCoV2 pandemic	DA 2020/07/14 06:01		Guidelines for therapy of patients with chronic myeloproliferative neoplasms during 	
51	32991900	Journal Article;Review	O  NNLM;COVID19;Global pandemic;Investigational drugs;SARSCoV2;Vaccine development;Virus mechanism	Antiviral Agents/therapeutic use;COVID19/drug therapy/immunology/*therapy;*Clinical Trials as Topic;Humans;SARSCoV2/drug effects/immunology/physiology;Viral Vaccines/immunology;DA 2020/12/18 06:00		Novel insights into the treatment of SARS-CoV-2 infection: An overview of current 	R01 AI050875/AI/NIAID NIH HHS/United States;R21 AI121700/AI/NIAID NIH HHS/United States
52	33510484	News		Antibodies, Monoclonal/therapeutic use;Biological Products/*therapeutic use;COVID19/drug therapy;Cell and TissueBased Therapy;Drug Approval;Humans;Immunoconjugates/therapeutic use;Internationality;Rare Diseases/drug therapy;United States;United States Food and Drug Administration;DA 2021/03/10 06:00		Refreshing the biologic pipeline 2020.	
53	33123014	Journal Article;Review	O  NNLM;antimicrobial therapy;coronavirus disease 2019;drug;severe acute respiratory syndrome coronavirus 2;supportive therapy;vaccine	DA 2020/10/31 06:01		Available Compounds With Therapeutic Potential Against COVID-19: Antimicrobial 	
54	33130550	Journal Article;MetaAnalysis;Systematic Review	O  NNLM;*COVID19;*Cancer treatment;*Chemotherapy;*Immunotherapy;*SARSCoV2;*Targeted therapy	Antineoplastic Agents/pharmacology/*therapeutic use;COVID19/*mortality;Female;Humans;Male;Neoplasms/*drug therapy/mortality/*virology;Pandemics;SARSCoV2/isolation & purification;Turkey/epidemiology;DA 2021/01/05 06:00		A systematic review and meta-analysis: the effect of active cancer treatment on 	
55	32713239	Journal Article;Research Support, N.I.H., Extramural;Review	O  NNLM;*COVID‐19;*cancer;*cardiac imaging;*cardio‐oncology;*targeted therapies	*Betacoronavirus;COVID19;Cardiovascular Diseases/*epidemiology;Comorbidity;Coronavirus Infections/*epidemiology;Global Health;Humans;*Medical Oncology;Neoplasms/*epidemiology;Pandemics;Pneumonia, Viral/*epidemiology;*Public Health;SARSCoV2;Survival Rate/trends;DA 2020/10/21 06:00		Cardio-Oncology in the Era of the COVID-19 Pandemic and Beyond.	P30 CA016058/CA/NCI NIH HHS/United States;K12 CA133250/CA/NCI NIH HHS/United States
56	33217987	Journal Article;Review	O  NNLM;Carbonic anhydrase;DNA;Gquadruplex;anticancer agents;bioactive heterocyclics;histone deacetylase;kinases;oxadiazoles;telomerase;tubulin	*Antineoplastic Agents/chemistry/therapeutic use;*Cytotoxins/chemistry/therapeutic use;*Drug Design;Humans;Neoplasms/*drug therapy/metabolism/pathology;*Oxadiazoles/chemistry/therapeutic use;DA 2021/03/05 06:00		Groundbreaking Anticancer Activity of Highly Diversified Oxadiazole Scaffolds.	
